name	ticker	type	tradeType	date	units	price	fees	currency	note
Moneta	MONET.PR	Akcie	Buy	27.4.2022	106	94	0	CZK
Moneta	MONET.PR	Akcie	Buy	28.4.2022	9	93.9	0	CZK
FB	META	Akcie	Buy	21.6.2022	2	156.87	0	USD
Palantir	PLTR	Akcie	Buy	4.8.2022	11	11.32	0	USD
CEZ	CEZ.PR	Akcie	Buy	27.10.2022	12	815	0	CZK
Komercni banka	KOMB.PR	Akcie	Buy	27.2.2023	13	749	0	CZK
Moneta	MONET.PR	Akcie	Buy	17.4.2023	240	85.90	0	CZK
Komercni banka	KOMB.PR	Akcie	Buy	17.4.2023	26	751	0	CZK
Google	GOOGL	Akcie	Buy	18.4.2023	5	105.06	0	USD
Komercni banka	KOMB.PR	Akcie	Buy	17.5.2023	22	661.50	0	CZK
Crowdstrike	CRWD	Akcie	Buy	13.6.2023	3	152.72	0	USD
Bank of America	BAC	Akcie	Buy	20.6.2023	15	28.69	0	USD
WP Carey	WPC	Akcie	Buy	20.6.2023	6	69.49	0	USD
CEZ	CEZ.PR	Akcie	Buy	3.7.2023	18	890	0	CZK
WP Carey	WPC	Akcie	Buy	3.8.2023	7	65.95	0	USD
Altria	MO	Akcie	Buy	7.11.2023	10	40.51	0	USD
Realty	O	Akcie	Buy	9.11.2023	9.5	50.52	0	USD
CEZ	CEZ.PR	Akcie	Buy	29.12.2023	15	947.5	90	CZK
WP Carey	WPC	Akcie	Buy	28.12.2023	8	64.87	0	USD
Altria	MO	Akcie	Buy	28.12.2023	10	40.07	0	USD
Altria	MO	Akcie	Buy	22.01.2024	10	40.28	0	USD
# CEZ	CEZ.PR	Akcie	Buy	22.01.2024	12	882	0	CZK
# CEZ	CEZ.PR	Akcie	Sell	22.01.2024	12	-881	0	CZK
CEZ	CEZ.PR	Akcie	Buy	22.01.2024	12	877.5	0	CZK
CEZ	CEZ.PR	Akcie	Buy	09.02.2024	11	832	0	CZK
CEZ	CEZ.PR	Akcie	Buy	16.02.2024	12	824	0	CZK
CEZ	CEZ.PR	Akcie	Buy	01.03.2024	12	815.5	0	CZK
VICI	VICI	Akcie	Buy	26.03.2024	16	29.08	0	USD
VICI	VICI	Akcie	Buy	18.04.2024	16	27.38	0	USD
WP Carey	WPC	Akcie	Buy	18.04.2024	8	54.20	0	USD
Match	MTCH	Akcie	Buy	09.05.2024	28	30.01	0	USD
Match	MTCH	Akcie	Buy	09.05.2024	0.7914	30.19	0	USD
S&P500	VUAA.DE	ETF	Buy	17.1.2024	1.9273	82.1060	0	EUR
S&P500	VUAA.DE	ETF	Buy	19.2.2024	1.7602	87.4960	0	EUR
S&P500	VUAA.DE	ETF	Buy	18.3.2024	1.00	88.8860	0	EUR
S&P500	VUAA.DE	ETF	Buy	17.4.2024	3	89.6560	0	EUR
S&P500	VUAA.DE	ETF	Buy	17.4.2024	0.4819	89.6773	0	EUR
IShares Core World	IWDA.AS	ETF	Buy	15.3.2023	1	69.755	0	EUR
IShares Core World	IWDA.AS	ETF	Buy	18.4.2023	1	73.085	0	EUR
IShares Core World	IWDA.AS	ETF	Buy	17.5.2023	2	73.59	1	EUR
IShares Core World	IWDA.AS	ETF	Buy	4.8.2023	3	77.70	1	EUR
IShares Core World	IWDA.AS	ETF	Buy	26.9.2023	2	77.225	1	EUR
IShares Core World	IWDA.AS	ETF	Buy	5.12.2023	3	79.70	1	EUR
IShares Core World	IWDA.AS	ETF	Buy	22.1.2024	2	83.815	1	EUR
IShares Core World	IWDA.AS	ETF	Buy	19.3.2024	2	89.30	1	EUR
Bitcoin	BTC-USD	Krypto	Buy	11.12.2023	0.00052719	948424		CZK
Bitcoin	BTC-USD	Krypto	Buy	4.12.2023	0.00051450	971817		CZK
Bitcoin	BTC-USD	Krypto	Buy	27.11.2023	0.00052856	945966		CZK
Bitcoin	BTC-USD	Krypto	Buy	20.11.2023	0.00058833	849863		CZK
Bitcoin	BTC-USD	Krypto	Buy	13.11.2023	0.00061487	810329		CZK
Bitcoin	BTC-USD	Krypto	Buy	6.11.2023	0.00057752	865770		CZK
Bitcoin	BTC-USD	Krypto	Buy	30.10.2023	0.00062046	805853		CZK
Bitcoin	BTC-USD	Krypto	Buy	23.10.2023	0.00061739	809860		CZK
Bitcoin	BTC-USD	Krypto	Buy	16.10.2023	0.00069009	724543		CZK
Bitcoin	BTC-USD	Krypto	Buy	9.10.2023	0.00075689	660597		CZK
Bitcoin	BTC-USD	Krypto	Buy	2.10.2023	0.00076384	654587		CZK
Bitcoin	BTC-USD	Krypto	Buy	25.9.2023	0.00076021	657713		CZK
Bitcoin	BTC-USD	Krypto	Buy	18.9.2023	0.00082122	608850		CZK
Bitcoin	BTC-USD	Krypto	Buy	11.9.2023	0.00080451	621496		CZK
Bitcoin	BTC-USD	Krypto	Buy	4.9.2023	0.00083506	598759		CZK
Bitcoin	BTC-USD	Krypto	Buy	28.8.2023	0.00084793	589671		CZK
Bitcoin	BTC-USD	Krypto	Buy	21.8.2023	0.00084913	588837		CZK
Bitcoin	BTC-USD	Krypto	Buy	14.8.2023	0.00080925	615695		CZK
Bitcoin	BTC-USD	Krypto	Buy	7.8.2023	0.00076009	657816		CZK
Bitcoin	BTC-USD	Krypto	Buy	31.7.2023	0.00076493	653654		CZK
Bitcoin	BTC-USD	Krypto	Buy	24.7.2023	0.00076996	649384		CZK
Bitcoin	BTC-USD	Krypto	Buy	17.7.2023	0.00076239	655832		CZK
Bitcoin	BTC-USD	Krypto	Buy	10.7.2023	0.00076592	652809		CZK
Bitcoin	BTC-USD	Krypto	Buy	3.7.2023	0.00075039	666320		CZK
Bitcoin	BTC-USD	Krypto	Buy	26.6.2023	0.00073933	676287		CZK
Bitcoin	BTC-USD	Krypto	Buy	19.6.2023	0.00074642	669864		CZK
Bitcoin	BTC-USD	Krypto	Buy	12.6.2023	0.00085608	584057		CZK
Bitcoin	BTC-USD	Krypto	Buy	5.6.2023	0.00088454	563286		CZK
Bitcoin	BTC-USD	Krypto	Buy	29.5.2023	0.00084888	586947		CZK
Bitcoin	BTC-USD	Krypto	Buy	22.5.2023	0.00079732	627100		CZK
Bitcoin	BTC-USD	Krypto	Buy	17.5.2023	0.00083360	599808		CZK
Bitcoin	BTC-USD	Krypto	Buy	8.5.2023	0.00087182	571501		CZK
Bitcoin	BTC-USD	Krypto	Buy	1.5.2023	0.00081887	610597		CZK
Bitcoin	BTC-USD	Krypto	Buy	24.4.2023	0.00080326	622463		CZK
Bitcoin	BTC-USD	Krypto	Buy	20.4.2023	0.00084447	590016		CZK
Bitcoin	BTC-USD	Krypto	Buy	10.4.2023	0.00076432	654176		CZK
Bitcoin	BTC-USD	Krypto	Buy	3.4.2023	0.00081154	616112		CZK
Bitcoin	BTC-USD	Krypto	Buy	27.3.2023	0.00081258	615324		CZK
Bitcoin	BTC-USD	Krypto	Buy	20.3.2023	0.00081949	608000		CZK
Bitcoin	BTC-USD	Krypto	Buy	13.3.2023	0.00076971	649595		CZK
Bitcoin	BTC-USD	Krypto	Buy	6.3.2023	0.00105851	470709		CZK
Bitcoin	BTC-USD	Krypto	Buy	20.2.2023	0.00193071	516135		CZK
Bitcoin	BTC-USD	Krypto	Buy	20.1.2023	0.00181343	551441		CZK
